form	lemma	POS	morph
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
དངོ་	དངོ་	NOUN
བྱོན་	བྱོན་	VERB
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
།		PUNCT
		
།		PUNCT
བདག་	བདག་	PRON
སོགས་	སོགས་	DET
ལྔ་	ལྔ་	NUM
བདོའི་		NON_WORD
རྒུད་པ་	རྒུད་པ་	VERB
ས་	གིས་	PART
མན་	མནའ་	NOUN
ར་	ལ་	PART
ལ་	ལ་	PART
གཟིགས་	གཟིགས་	VERB
།		PUNCT
		
།		PUNCT
ཀྱེ་མ་	ཀྱེ་མ་	INTJ
བོད་	བོད་	PROPN
འབངས་	འབངས་	NOUN
ནམ་ཡང་	ནམ་ཡང་	OTHER
མི་	མི་	PART
འདོར་བ་	འདོར་བ་	VERB
འི་	གི་	PART
།		PUNCT
		
།		PUNCT
ཞལ་བཞེས་	ཞལ་བཞེས་	NOUN
ཐུགས་དམ་	ཐུགས་དམ་	NOUN
ཡལ་བ་	ཡལ་བ་	VERB
ར་	ལ་	PART
འདོ་	འདོ་	VERB
རམ་	གམ་	PART
ཅི་	ཅི་	NO_POS
།		PUNCT
		
།		PUNCT
ལས་དབང་	ལས་དབང་	NOUN
བཙན་	བཙན་	VERB
ཞེ་	ཅེས་	PART
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ས་	གིས་	PART
མི་	མི་	PART
སྐྱོབས་	སྐྱོབས་	VERB
ན་	ལ་	PART
།		PUNCT
		
།		PUNCT
མཁྱེན་བརྩེ་	མཁྱེན་བརྩེ་	PROPN
ནུས་པ་	ནུས་པ་	VERB
འི་	གི་	PART
ཆེ་བ་	ཆེ་བ་	VERB
གང་	གང་	NO_POS
དུ་	ལ་	PART
མཆིས་	མཆིས་	VERB
།		PUNCT
		
།		PUNCT
རེ་	རེ་	DET
ས་	ས་	ADP
གཞན་	གཞན་	DET
མེད་	མེད་	VERB
སྙིང་	སྙིང་	NOUN
ན་	ནས་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
།		PUNCT
		
།		PUNCT
ཐོགས་མེད་	ཐོགས་མེད་	PROPN
མཐུ་རྩལ་	མཐུ་རྩལ་	NOUN
ནུས་པ་	ནུས་པ་	VERB
འི་	གི་	PART
ཤུགས་	ཤུགས་	NOUN
ཕྱུངས་		NON_WORD
ལ་	ལ་	PART
།		PUNCT
		
།		PUNCT
ལོག་པ་	ལོག་པ་	VERB
ར་	ལ་	PART
བལྟ་བ་	བལྟ་བ་	VERB
ས་	གིས་	PART
དགེ་རྩ་	དགེ་རྩ་	OTHER
ཆད་པ་	ཆད་པ་	VERB
ཡི་	གི་	PART
།		PUNCT
		
།		PUNCT
སྐལ་པ་	སྐལ་པ་	NOUN
ངན་པ་	ངན་པ་	VERB
འི་	གི་	PART
འགྲོ་	འགྲོ་	VERB
རྣམས་	རྣམས་	DET
བསྐྱབ་	བསྐྱབ་	NO_POS
ཏུ་	ལ་	PART
གསོལ་	གསོལ་	VERB
།		PUNCT
		
།		PUNCT
སྙིང་	སྙིང་	NOUN
ལ་	ལ་	PART
དགོངས་པ་	དགོངས་པ་	VERB
འི་	གི་	PART
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
འཕོ་བ་	འཕོ་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
		
།		PUNCT
དཀར་པོ་	དཀར་པོ་	ADJ
འི་	གི་	PART
བག་ཆགས་	བག་ཆགས་	NOUN
སད་པ་	སད་པ་	VERB
འི་	གི་	PART
དགེ་མཚན་	དགེ་མཚན་	OTHER
གྱིས་	གིས་	PART
།		PUNCT
		
།		PUNCT
སྣོད་བཅུད་	སྣོད་བཅུད་	NOUN
རྒུད་པ་	རྒུད་པ་	VERB
འི་	གི་	PART
ཚོགས་	ཚོགས་	NOUN
ཀུན་	ཀུན་	DET
ཞི་བ་	ཞི་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
		
།		PUNCT
ཕན་བདེ་	ཕན་བདེ་	OTHER
འི་	གི་	PART
དགེ་མཚན་	དགེ་མཚན་	OTHER
རྒྱས་པ་	རྒྱས་པ་	VERB
འི་	གི་	PART
བཀྲ་ཤིས་ཤོག་	བཀྲ་ཤིས་ཤོག་	NO_POS
		
།		PUNCT
ཨོཾ་	ཨོཾ་	X
ཨཱཿ་		NON_WORD
ཧ་	ཧ་	NOUN
		
ྂ་		NON_WORD
བཛྲ་	བཛྲ་	NO_POS
གུ་རུ་	གུ་རུ་	PROPN
པདྨ་	པདྨ་	NOUN
སི་	སི་	OTHER
དྡྷི་		NON_WORD
ཧ་	ཧ་	NOUN
		
ྂཿ་		NON_WORD
ཞེས་་	ཞེས་པ་	PART
འདི་	འདི་	DET
ནི་	ནི་	NO_POS
རབ་རྒྱལ་	རབ་རྒྱལ་	OTHER
ཆུ་གླང་	ཆུ་གླང་	NO_POS
བོད་ཟླ་	བོད་ཟླ་	NO_POS
དྲུག་པ་	དྲུག་པ་	NUM
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
བཞི་	བཞི་	NUM
ཉིན་	ཉིན་	NOUN
འོག་མིན་	འོག་མིན་	PROPN
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
སྨིན་གྲོལ་	སྨིན་གྲོལ་	NOUN
གླིང་པ་	གླིང་པ་	NOUN
འི་	གི་	PART
གཅུང་	གཅུང་	NOUN
ངག་དབང་	ངག་དབང་	PROPN
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
གྲགས་པ་	གྲགས་པ་	VERB
ས་	གིས་	PART
ལྷ་ལྡན་	ལྷ་ལྡན་	OTHER
དུ་	ལ་	PART
བྲིས་པ་	བྲིས་པ་	VERB
འོ་	གོ་	PART
"།
།"		PUNCT
དགེ་	དགེ་	NOUN
འོ་	གོ་	PART
༎		PUNCT
		
༎		PUNCT
